type,location,bed,address,total_sqft,bath,price
Co-op for sale,New York,3,87 Saint Marks Pl Apt 4C,400,1,149000
House for sale,Queens County,5,84-11 165th Ave,1760,2,1099000
Land for sale,Richmond County,3,750 Barclay Ave,2184.207862,2.373860858,3950000
Multi-family home for sale,Queens County,6,116-25 134th St,2400,5,1529999
House for sale,Richmond County,3,44 Hunter Pl,1404,1,675000
House for sale,Queens County,6,87-07 158th Ave,2184.207862,6,2650000
House for sale,Queens County,3,90-07 107th Ave,2184.207862,1,420000
Land for sale,Kings County,3,9115-9119 Bedell Ln,2184.207862,2.373860858,2999950
Townhouse for sale,Richmond County,3,18 Navigator Ct,980,2,559900
House for sale,Queens County,3,122-04 115th Ave,2184.207862,1,549000
Land for sale,Queens County,3,13617 Carlton Pl,950,2,999000
Land for sale,Bronx County,3,633 Mead St,2184.207862,2.373860858,289000
Land for sale,Queens County,3,1815 College Point Blvd,2184.207862,2.373860858,790000
House for sale,New York County,7,235 W 138th St,3632,4,2295000
House for sale,Richmond County,3,335 Preston Ave,3000,4,1150000
Townhouse for sale,Kings County,7,18 Prospect Park W,9026,2.373860858,13995000
Land for sale,Kings County,3,1518 Pitkin Ave,2184.207862,2.373860858,6100000
Land for sale,Kings County,3,2532 Atlantic Ave,2184.207862,2.373860858,350000
Land for sale,Bronx County,3,9 Alderbrook Rd,2184.207862,2.373860858,450000
Land for sale,Queens County,3,153-10 89th Ave,2184.207862,2.373860858,2999999
Land for sale,Kings County,3,238 Ocean View Ave,2184.207862,2.373860858,2500000
Land for sale,Kings County,3,8 Lake Ave,2184.207862,2.373860858,350000
Land for sale,Richmond County,3,40 Cedarcliff Rd,2184.207862,2.373860858,150000
Land for sale,Kings County,3,1348 E 7th St,2184.207862,2.373860858,3600000
Land for sale,Richmond County,3,48 Cedarcliff Rd,2184.207862,2.373860858,150000
Co-op for sale,Queens,3,143-50 Hoover Ave Unit 307,1400,2,235000
Land for sale,New York,3,164th Dr,2184.207862,2.373860858,199000
Land for sale,Bronx County,3,2090 Arthur Ave,2184.207862,2.373860858,2000000
Land for sale,Queens County,3,75-43 113th St,2184.207862,2.373860858,2200000
Land for sale,Queens County,3,31-42 41st St,2184.207862,2.373860858,650000
Land for sale,Richmond County,3,644 Jefferson Ave,2184.207862,2.373860858,149000
House for sale,Kings County,4,408 Van Siclen Ave,2000,2,215000
Land for sale,Kings County,3,1905 Fulton St,2184.207862,2.373860858,799999
House for sale,Queens County,5,219 Beach 44 St,2184.207862,2,299000
Land for sale,Kings County,3,1698 E New York Ave,2184.207862,2.373860858,265000
Land for sale,Bronx County,3,1761 Topping Ave,2184.207862,2.373860858,795000
Land for sale,Bronx County,3,5437 Fieldston Rd,2184.207862,2.373860858,1245000
Land for sale,Kings County,3,1385 Dekalb Ave,2184.207862,2.373860858,549000
Condo for sale,New York,4,378 W End Ave Apt 4A,2888,4,7495000
Townhouse for sale,Queens County,4,30-53 35th St,4080,4,2850000
Co-op for sale,Bronx County,2,127C Edgewater Park Unit C,747,2,215000
Land for sale,Kings County,3,621 E 87th St,2184.207862,2.373860858,299000
House for sale,Bronx County,2,3009 Coddington Ave,1104,1,275000
Multi-family home for sale,Richmond County,6,15 Spratt Ave,2100,3,898000
Co-op for sale,The Bronx,2,1910 Pelham Pkwy S Apt 2A,900,1,275000
House for sale,Queens County,4,114-36 Sutter Ave,1682,2,599000
Condo for sale,Staten Island,1,20 Cliff St Apt 5B,730,1,189000
Multi-family home for sale,Richmond County,3,155 Wellbrook Ave,1575,3,678990
House for sale,Kings County,3,2660 Mill Ave,1824,2,800000
Condo for sale,Richmond County,3,4 Jamie Ct,1092,2,549000
House for sale,Richmond County,3,329 Wainwright Ave,2000,2,849000
Pending,Kings County,3,558 E 34th St,2184.207862,2.373860858,675000
House for sale,Richmond County,3,263 South Ave,664,2.373860858,130000
House for sale,Queens County,4,91-18 173rd St,2184.207862,2,759999
Contingent,Richmond County,2,615 Correll Ave,978,1,489000
Multi-family home for sale,Kings County,5,2339 Brigham St,1750,2,799900
Co-op for sale,Queens,3,155-23 79th St Unit 2,2184.207862,1,295000
Co-op for sale,Bronx County,2,3531 Bronxwood Ave Apt Stb,1010,1,159000
House for sale,Queens County,3,157-23 16th Rd,1144,2,999500
Contingent,Richmond County,3,68 Davis Ave,2310,2,589000
Condo for sale,Richmond County,2,55 Austin Pl Apt 6Z,850,1,329000
House for sale,Kings County,3,431 E 32nd St,1881,2,799000
House for sale,Kings County,4,1268 76th St,1580,2,1188000
House for sale,Bronx County,3,1625 Lurting Ave,1400,2,729000
Contingent,Richmond County,3,30 Cunard Ave,1495,2,614900
House for sale,Bronx County,4,242 E 235th St,1500,2,599000
Multi-family home for sale,Queens County,6,31-15 102 St,2184.207862,2,950000
Townhouse for sale,Queens County,5,137 Beach 140th St,2184.207862,2.373860858,11000000
Land for sale,Richmond County,3,952 Olympia Blvd,2184.207862,2.373860858,348000
Condo for sale,Brooklyn,3,9 Dekalb Ave Unit 54E,540,1,965000
Multi-family home for sale,Richmond County,4,89 Escanaba Ave,2280,4,1095000
Condo for sale,New York,2,219 Hudson St Apt 4A,1242,2,2295000
Pending,New York County,5,112 Waverly Pl,2184.207862,7,13500000
Co-op for sale,The Bronx,3,150 City Island Ave Unit E3,800,2.373860858,49500
House for sale,Kings County,3,26 Durland Pl,2256,3,460000
Multi-family home for sale,Kings County,12,344 Ashford St,2184.207862,6,825000
House for sale,Queens County,3,70-17 Nansen St,1590,2,1230250
House for sale,Kings County,3,2047 E 38th St,1344,2,799999
Co-op for sale,Queens,2,123-35 82nd Rd Unit 5H,2184.207862,1,259500
Multi-family home for sale,Kings County,15,3015 Avenue D,4920,6,1300000
Condo for sale,Queens,2,13-22 208th Pl Unit 1605,1300,2,749000
House for sale,Richmond County,2,19 Vera St,660,1,265000
House for sale,Queens County,2,190 Beach 109th St,900,1,575000
Multi-family home for sale,Bronx County,4,2033 Hobart Ave,2180,2,849000
House for sale,Queens County,2,244-89 61st Ave,1214,2,875000
House for sale,Richmond County,3,68 Watchogue Rd,1360,2,599999
Multi-family home for sale,Queens County,5,162-14 97th St,2184.207862,3,1150000
Pending,Richmond County,4,139 Atlantic Ave,3840,2.373860858,1188000
Foreclosure,Richmond County,3,241 Westervelt Ave,2640,2.373860858,579900
Multi-family home for sale,Queens County,4,16-38 157th St,2440,3,1295000
House for sale,Kings County,3,4413 Avenue M,1376,1,250000
Land for sale,Bronx County,3,5239 Independence Ave,2184.207862,2.373860858,1395000
Townhouse for sale,Queens County,3,7 Middlemay Cir,1751,4,1648000
House for sale,Queens County,4,85-33 Radnor St,2184.207862,5,1675000
House for sale,Queens County,3,66-23 Alderton St,1748,2,950000
Co-op for sale,New York County,1,180 Thompson St Apt Ld,2184.207862,1,449500
Pending,Queens,3,2902745 35 98th St Unit 15A,500,1,184888
Condo for sale,New York,3,664 W 161st St Apt 1F,500,1,399000
Co-op for sale,The Bronx,1,4410 Cayuga Ave Unit B3,1078,1,209000
Co-op for sale,The Bronx,3,1506 Overing St Unit STR3,1100,2,280000
House for sale,Queens County,3,132-11 Centreville St,2184.207862,2,625000
Co-op for sale,New York,3,419 E 87th St Apt 3A,2184.207862,1,275000
Multi-family home for sale,Richmond County,4,315 Main St,2049,3,924800
House for sale,Queens County,6,222-44 41st Rd,2112,4,1300000
Multi-family home for sale,Richmond County,5,65 Rensselaer Ave Unit A,2288,2,995000
Condo for sale,New York County,5,2150 Broadway,4105,4,16500000
Townhouse for sale,Richmond County,3,370 Windham Loop,1793,2.373860858,695000
Condo for sale,New York County,5,2150 Broadway,4105,4,16500000
Townhouse for sale,Richmond County,3,370 Windham Loop,1793,2.373860858,695000
Multi-family home for sale,Queens County,5,95-15 108th St,1738,3,998000
Multi-family home for sale,Richmond County,7,1009 Forest Ave,1980,3,899000
Multi-family home for sale,Queens County,6,137-06 132nd Ave,2184.207862,5,849000
Co-op for sale,Queens,3,133 Beach 120th St Apt 2E,2184.207862,1,235000
House for sale,Queens County,2,320C Beach 101st St,2184.207862,1,399999
House for sale,Kings County,4,860 Herkimer St,1701,2,520000
Condo for sale,Brooklyn,3,901 E 106th St Unit 1A,2184.207862,2,485000
Co-op for sale,Brooklyn,3,1075 Ocean Pkwy Apt 1C,1100,1,215000
Multi-family home for sale,Richmond County,6,1010 Huguenot Ave,2640,5,1288000
Co-op for sale,Queens,2,33-05 92nd St Unit 1C,900,2,270000
Co-op for sale,The Bronx,2,3635 Johnson Ave Apt 3G,1200,2,375000
Co-op for sale,Brooklyn,1,78 8th Ave Apt 2K,2184.207862,1,565000
Multi-family home for sale,Kings County,4,65 Grant Ave,2184.207862,3,849000
Co-op for sale,Queens,2,8900 170th St Apt 7D,2184.207862,1,199000
House for sale,Bronx County,8,5041 Goodridge Ave,9000,6,5500000
House for sale,Queens County,4,36-34 Clearview Expy,2184.207862,2.373860858,899000
House for sale,Kings County,3,2138 Coleman St,2350,2,699000
Condo for sale,New York,7,551 W 21st St Unit 15AB,8139,8,27750000
House for sale,Queens County,3,248-08 82nd Ave,1148,1,739000
Multi-family home for sale,Bronx County,3,747 E 217th St,1700,2,425000
Co-op for sale,Staten Island,2,350 Richmond Ter Apt 3C,900,1,300000
House for sale,Bronx County,3,267 Robinson Ave,1780,3,569000
House for sale,Queens County,5,223-30 107th Ave,1273,3,789000
Condo for sale,New York,3,1 Wall St Apt 4101,2753,3,10500000
Co-op for sale,Brooklyn,2,274 S 2nd St Apt 30,825,1,350000
Pending,Kings County,8,219 Frost St,6312,5,5895000
Multi-family home for sale,Kings County,7,346 50th St,2184.207862,4,1250000
Townhouse for sale,Kings County,4,3623 Avenue T,2264,2,1499999
Multi-family home for sale,Kings County,6,7302 11th Ave,2184.207862,2,1488000
Land for sale,Queens County,3,12 Point Breeze Ave,2184.207862,2.373860858,285000
Multi-family home for sale,Queens County,3,114-48 127th St,2184.207862,3,699000
House for sale,Kings County,3,1559 W 4th St,1404,2,924900
Foreclosure,Bronx County,4,456 E 134th St,2318,2,560000
Multi-family home for sale,Kings County,12,4015 Atlantic Ave,5100,8,1998000
Pending,Queens,3,151-40 88 St Unit 5J,2184.207862,2,309000
Multi-family home for sale,Bronx County,4,2423 Woodhull Ave,2160,2.373860858,925000
House for sale,Queens County,4,65-07 181st St,2184.207862,2,999000
Condo for sale,Queens,2,214-10 15 Ave Unit 4B,833,2,699000
Co-op for sale,Queens,2,65-38 Booth St Unit 6E,2184.207862,1,278500
Co-op for sale,New York,3,303 E 57th St Apt 39A,2184.207862,2,738000
House for sale,Queens County,4,12-14 W 5th Rd,2700,4,900000
Co-op for sale,Queens,1,12310 Ocean Promenade Apt 7H,1470,1,369000
House for sale,Bronx County,3,4384 Locust Point Dr,1620,2,609000
Condo for sale,Queens County,3,3-27 Endeavor Pl Unit C,1278,2,758000
Condo for sale,Richmond County,3,166 Rolling Hill Grn,1890,2,728000
House for sale,Kings County,3,595 Glenmore Ave,1200,3,314900
House for sale,Queens County,6,85-16 Chevy Chase St,4443,2.373860858,2848000
House for sale,Queens County,3,62-15 82nd Pl,2046,2,1298000
Co-op for sale,Queens County,4,27110 Grand Central Pkwy Ph F,2500,4,1095000
Condo for sale,Staten Island,3,6 Greentree Ln Unit 6,1286,2,434900
Co-op for sale,The Bronx,2,4601 Henry Hudson Pkwy W Apt A8,1350,2,375000
Multi-family home for sale,Bronx County,14,1826 Radcliff Ave,6000,8,1375000
Townhouse for sale,New York County,3,128 E 38th St,2400,4,4680000
Co-op for sale,Queens,2,69-10 108 St Unit 6O,1200,2,549000
House for sale,Richmond County,3,225 Bement Ave,1400,1,549000
House for sale,Queens County,3,67-44 Kessel St,1520,2,950000
Condo for sale,New York,3,157 Broome St Apt 3E,2184.207862,1,388000
Townhouse for sale,New York County,6,111 E 19th St,4917,6,5600000
Multi-family home for sale,Queens County,8,85-29 66th Ave,3472,6,1600000
Townhouse for sale,New York County,5,239 E 78th St,3912,2.373860858,6995000
Multi-family home for sale,Queens County,6,61-29 75th St,2184.207862,2,1399000
House for sale,Queens County,3,117-02 111th Ave,1350,2.373860858,399000
Pending,Brooklyn,1,175 Adams St Apt 10E,630,1,529900
Pending,Queens County,5,59-14 69th St,2184.207862,2,999000
Condo for sale,Queens,2,81-15 Queens Blvd Unit 3C,2184.207862,2,575000
Pending,Queens,3,216-10 17th Ave Unit TH53,2184.207862,4,659900
Townhouse for sale,Kings County,6,484 A 7th Ave,2385,3,2200000
Multi-family home for sale,Queens County,5,24907 88th Rd,1550,2,898888
House for sale,Richmond County,5,148 Claypit Rd,3427,4,1250000
Multi-family home for sale,Kings County,3,1861 82nd St,2240,2,1188000
Multi-family home for sale,Richmond County,5,428 Bradley Ave,2080,3,869999
Co-op for sale,Brooklyn,3,2229 Knapp St Apt 2A,1050,1,219000
House for sale,Kings County,3,653 Jerome St,1840,2.373860858,210000
Multi-family home for sale,Kings County,6,737 Pine St,2184.207862,2,799000
Co-op for sale,The Bronx,3,1425 Thieriot Ave Apt 6L,1100,2,298000
House for sale,Richmond County,4,25 Tarring St,3500,4,1248888
Pending,New York,2,313 W 118th St Apt 3D,955,2,1075000
Pending,Brooklyn,2,633 Prospect Pl Apt 1,1572,2,1695000
Condo for sale,Kings County,3,30 Main St Ph B,1887,2,3795000
Condo for sale,Queens,2,62-48 Mount Olivet Cres Unit 1B,2184.207862,2,550000
Co-op for sale,New York,3,46 Commerce St # 5,2184.207862,1,775000
Foreclosure,Richmond County,2,1100 Clove Rd Unit G0,800,2,249900
House for sale,Richmond County,4,318 Arthur Kill Rd,1152,1,650000
Co-op for sale,Brooklyn,1,8701 Shore Rd Apt 435,2184.207862,1,410000
Multi-family home for sale,Kings County,9,2331 W 12th St,4320,5,1650000
Pending,New York,2,159 W 24th St Apt 5B,1100,2,1600000
Co-op for sale,Queens,2,67-12 Yellowstone Blvd Unit B1,2184.207862,1,325000
Contingent,Staten Island,2,177 3rd St Unit 1,900,1,275000
House for sale,Bronx County,3,3610 Corlear Ave,1620,2,700000
House for sale,Queens County,3,32-16 61st St,2184.207862,2,930000
Condo for sale,The Bronx,1,190 Schofield St Apt 3I,704,2,379000
House for sale,Kings County,3,2234 62nd St,1376,2.373860858,1150000
Co-op for sale,Queens County,3,98-05 63 Rd Unit 4E,1100,2,568888
House for sale,Richmond County,4,244 Four Corners Rd,2052,3,1200000
Foreclosure,Richmond County,3,712 Katan Ave,2550,3,899900
Condo for sale,Queens,3,1412 Bonnie Ln Apt 2,1200,2,799999
Multi-family home for sale,Kings County,3,348 Legion St,2184.207862,4,300000
Foreclosure,Richmond County,4,3037 Richmond Rd,3098,3,750000
House for sale,Richmond County,4,416 Colon Ave,1196,2,669999
Contingent,Richmond County,2,15 Portland Pl,1200,1,575000
Co-op for sale,Brooklyn,3,2212 Brigham St Apt 3C,2184.207862,1,299000
House for sale,Richmond County,3,89 Taft Ave,1440,4,548800
Townhouse for sale,New York County,7,14 E 69th St Unit Townhouse,12300,9,28500000
Co-op for sale,Queens,2,84-25 118 St Unit 1B,2184.207862,1,259000
Co-op for sale,Queens,2,70-25 Yellowstone Blvd Unit 14X,2184.207862,1,425000
House for sale,Kings County,4,68 Schenck Ave,2200,2,950000
Co-op for sale,New York,2,526 W 158th St Apt 64,600,1,185000
House for sale,Queens County,4,373 Manor Rd,2364,3,1688888
Co-op for sale,Queens,2,84-25 118 St Unit 1B,2184.207862,1,259000
House for sale,Kings County,4,68 Schenck Ave,2200,2,950000
House for sale,Queens County,4,373 Manor Rd,2364,3,1688888
Multi-family home for sale,Bronx County,6,262 E 197th St,2184.207862,3,689000
Co-op for sale,Queens,2,150-58 Jewel Ave Unit 75A,2184.207862,1,419000
House for sale,Kings County,4,4193 Ocean Ave,2184.207862,2,1199000
House for sale,Kings County,4,153 Jaffrey St,2184.207862,2.373860858,2150000
House for sale,Richmond County,3,82 Mulberry Ave,2208,4,899000
House for sale,Queens County,3,102-26 213th St,2184.207862,2,675000
Co-op for sale,New York,2,20 E 35th St Apt 3D,2184.207862,1,875000
House for sale,New York,2,529 W 42nd St Apt 6L,1130,1,899000
Co-op for sale,Queens,2,8377 Woodhaven Blvd Apt 2B,2184.207862,1,219000
Co-op for sale,The Bronx,2,2962 Decatur Ave Apt 1C,600,1,120000
Condo for sale,New York,2,581 Academy St Apt 1G,2184.207862,1,470000
Co-op for sale,The Bronx,2,4315 Webster Ave Apt 3L,950,1,229000
Multi-family home for sale,Kings County,3,8001 New Utrecht Ave,11760,32,3000000
Pending,Queens County,5,116 Audley St,2184.207862,4,1199000
Multi-family home for sale,Kings County,9,3812 Cypress Ave,2961,8,1498000
Condo for sale,New York,4,411 E 53rd St # 4HJ,2000,3,2000000
Condo for sale,New York,6,100 Vandam St Apt 20A,6569,6,50000000
House for sale,Queens County,3,156-23 88th St,2184.207862,2,550000
Pending,Richmond County,3,161 Greenleaf Ave,1176,1,499000
Multi-family home for sale,Bronx County,6,860 E 232nd St,2202,3,800000
Co-op for sale,Queens,2,155-07 86th St Unit 102,798,1,239000
Townhouse for sale,New York County,10,26 Washington Sq N,8750,13,29950000
House for sale,Richmond County,3,107 Salamander Ct,1440,2,674999
Townhouse for sale,Kings County,5,38 Monroe Pl,7200,2.373860858,14000000
House for sale,Queens County,3,154-69 26th Ave,950,2,1228000
Condo for sale,Queens County,4,120-10 Ketch Ct Unit 34,2400,4,880000
Co-op for sale,Queens,2,98-120 Queens Blvd Unit 6K,2184.207862,2,369888
Co-op for sale,New York,2,465 Park Ave Unit 34E,2184.207862,2,500000
Multi-family home for sale,Queens County,4,205-05 Jamaica Ave,2184.207862,3,499000
House for sale,Queens County,5,28-05 216th St,3800,2.373860858,2998888
Co-op for sale,The Bronx,2,60 Knolls Cres Apt 8M,850,1,175849
Multi-family home for sale,New York,3,32 Barker St,1445,2,499000
Multi-family home for sale,Bronx County,6,861 E 231st St,1952,3,899975
House for sale,Queens County,4,71-28 Manse St,2050,2,1474000
House for sale,Richmond County,6,79 Grandview Ter,6300,5,2750000
House for sale,Kings County,3,7923 11th Ave,3428,2.373860858,3999000
House for sale,Queens County,4,76-66 174th St,1700,2,1288000
Foreclosure,Kings County,4,719 Vermont St,1428,2,499000
House for sale,Richmond County,4,70 Weed Ave,2400,4,989000
House for sale,Richmond County,3,827 Richmond Rd,2184.207862,2,650000
Contingent,Richmond County,4,181 Androvette Ave,4803,4,1999999
Townhouse for sale,New York County,4,96 Bank St,3750,4,5990000
Co-op for sale,The Bronx,3,2501 Palisade Ave Apt D2,2184.207862,2,1235000
Co-op for sale,New York,1,10 Park Ave Unit 10K,2184.207862,1,785000
Co-op for sale,New York,3,870 Riverside Dr Apt 5D,1750,2,750000
Multi-family home for sale,Queens County,3,25-01 23rd Ave,2184.207862,3,1400000
Multi-family home for sale,Bronx County,6,910 Revere Ave,2464,3,865000
Co-op for sale,Queens County,1,35-31 85th St Unit 7F,2184.207862,1,324000
House for sale,Richmond County,3,7126 Amboy Rd,3750,4,1100000
Multi-family home for sale,Kings County,3,4415 Atlantic Ave,2184.207862,7,2295000
House for sale,Kings County,4,69 Orange St,2570,2,8950000
Multi-family home for sale,Richmond County,3,252 Ionia Ave,2450,4,1348888
Co-op for sale,The Bronx,2,5620 Netherland Ave Apt 3G,850,1,220000
Co-op for sale,Brooklyn,1,789 Macdonough St Apt 4G,2184.207862,1,185000
House for sale,Bronx County,2,514 E 235th St,1350,2,499000
Multi-family home for sale,Kings County,4,362 90th St,1980,3,999999
Townhouse for sale,New York County,2,51 Barrow St,2000,2,4995000
